Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.7,37202036379,224,166080519.5,3264960.5,240480,7655125280,961797383.8,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
11.8,13417150787,248,54101414.5,1442896.0,5568,1955579749,276484898.5,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9.2,10428945795,6144,1697419.6,1728928.0,1347040,2052320,89873.4,cudnn_generated_fort_native_sdpa_sm90_flash_bprop_wgmma_f16_knob_26_64x64x128_1x4x1_cga1x1x1_kernel0_0
9.0,10259343957,128,80151124.7,223520.0,5248,3354636686,509193113.8,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
6.2,7060447675,18688,377806.5,203488.0,110304,4008608,447953.5,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_NNT
5.2,5916562362,12544,471664.7,578464.0,160320,4371456,538626.8,nvjet_sm90_tst_192x192_64x4_2x1_v_bz_coopB_TNN
3.5,3958715098,6048,654549.5,662976.0,539264,1036960,40880.3,nvjet_sm90_tst_256x128_64x4_1x2_h_badd_coopA_NTT
2.9,3300896706,6144,537255.3,517600.0,483904,705248,35811.4,cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wgmma_f16_knob_7_64x128x128_4x1x1_cga1x1x1_kernel0_0
2.2,2510093564,12288,204271.9,219232.0,103584,435296,89367.5,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_TNT
2.0,2275744767,6144,370401.2,375712.0,293568,475968,17802.7,nvjet_sm90_tst_320x128_64x3_1x2_h_bz_coopB_NNT
1.8,2065322332,6048,341488.5,343136.0,268512,644992,32693.8,nvjet_sm90_tst_128x192_64x5_2x1_v_badd_coopB_NTN
1.6,1829962371,6144,297845.4,304736.0,235552,359648,18107.2,triton_poi_fused_add_cat_mul_rsub_sigmoid_silu_split_0
1.2,1325044031,6048,219088.0,220288.0,168672,410272,22330.4,nvjet_sm90_tst_256x128_64x4_2x4_h_badd_coopA_NTT
0.9,975375775,256,3810061.6,3808480.0,3800544,3845856,6118.4,triton_red_fused_copy__exp_sub_sum_unsqueeze_2
0.8,940901185,256,3675395.3,3678656.0,3298592,3995552,162164.5,nvjet_sm90_tst_192x192_64x3_2x1_v_badd_coopB_NTN
0.8,872798146,6048,144311.9,144032.0,114880,261248,16570.0,nvjet_sm90_tst_128x160_64x5_4x2_h_badd_NTT
0.7,799950303,12544,63771.5,63552.0,55776,115776,4265.7,"void transformer_engine::normalization::rmsnorm_bwd_general_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)2048, (unsigned int)1, (unsigned int)1, (unsigned int)4, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)2048, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)128>>, (bool)0>(transformer_engine::normalization::BackwardKernelParams)"
0.7,739554976,12544,58956.9,57344.0,54304,110688,6906.4,"void transformer_engine::normalization::rmsnorm_fwd_general_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)2048, (unsigned int)1, (unsigned int)4, (unsigned int)1, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)2048, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)128>>>(transformer_engine::normalization::ForwardKernelParams)"
0.6,665519810,6144,108320.3,108288.0,104640,132480,779.8,triton_poi_fused_mul_silu_split_0
0.6,644642719,12288,52461.2,47456.0,20096,94752,23874.5,"void transformer_engine::fused_rope_backward_kernel<__nv_bfloat16>(const T1 *, const int *, const float *, const int *, T1 *, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
0.5,586124895,256,2289550.4,2289408.0,2284512,2295872,1681.7,triton_poi_fused__to_copy_copy__mul_unsqueeze_view_2
0.5,560335267,12800,43776.2,64448.0,17504,106144,24496.3,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.5,549277408,25088,21894.0,21488.0,1376,124384,21265.2,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.5,512599679,12288,41715.5,50368.0,19520,86175,20621.1,"void transformer_engine::fused_rope_forward_kernel<__nv_bfloat16>(const T1 *, const int *, const float *, const int *, T1 *, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
0.4,489147679,12544,38994.6,39136.0,33248,77440,1650.8,"void transformer_engine::normalization::rmsnorm_bwd_finalize_general_kernel<__nv_bfloat16, float, (unsigned int)4, (unsigned int)1, (unsigned int)4, (unsigned int)32>(transformer_engine::normalization::BackwardKernelParams)"
0.4,486076860,12288,39557.0,39296.0,36256,54624,1646.8,triton_poi_fused_add_0
0.4,463503072,256,1810558.9,1810416.0,1807680,1815008,1445.5,triton_poi_fused_copy__div_split_unsqueeze_1
0.4,461786048,256,1803851.8,1803440.0,1800768,1823200,2650.5,triton_poi_fused__to_copy_arange_index_index_put_rsub_sub_view_0
0.3,396016992,8,49502124.0,361024.0,170688,373624800,131053058.1,ncclDevKernel_AllReduce_Sum_f64_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.3,373526114,6144,60795.3,60768.0,58176,73088,708.3,"void cudnn::fusion::compute_dot_do_o<(bool)1>(const void *, const void *, void *, void *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float, const void *, const void *, const void *, const void *, const void *, bool, const void *, void *, const void *, int, int, int, int, int, int, int, int, int)"
0.3,368834849,256,1440761.1,1440304.0,1437184,1451296,2100.8,triton_red_fused__to_copy_max_0
0.3,310275296,6144,50500.5,50400.0,46176,60000,1204.6,"void cudnn::fusion::convert_dq_to_16bits<(bool)1>(const void *, void *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, const float *, const float *, const float *, float *, const void *, void *, void *, bool, bool)"
0.2,267894496,6144,43602.6,43552.0,42240,53600,587.5,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.2,251637504,12288,20478.3,20544.0,19200,26208,594.7,"void cudnn::fusion::fmha_reduce_head<(bool)1>(const void *, void *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, const float *, const float *, const float *, float *, void *, bool, void *, bool)"
0.1,58102016,96,605229.3,621312.0,536128,674688,50269.8,nvjet_sm90_tst_256x128_64x4_1x2_h_bz_coopA_NTT
0.0,38818624,156,248837.3,269536.0,2496,279648,71369.9,"void multi_tensor_apply_kernel<TensorListMetadata<(int)5, (bool)0>, transformer_engine::multi_tensor_adam::AdamFunctorMasterParamRemainder<__nv_bfloat16, float, long>, float, float, float, float, float, float, transformer_engine::multi_tensor_adam::adamMode_t, float>(long, volatile int *, T1, T2, T3...)"
0.0,37822752,256,147745.1,147792.0,129248,171296,5619.0,"void at::native::<unnamed>::compute_grad_weight<c10::BFloat16, long>(const T2 *, const T1 *, const T2 *, long, long, const T2 *, const long *, at::AccumulateType<T1, (bool)1>::type *, long)"
0.0,29923520,96,311703.3,327952.0,266272,350560,31142.4,nvjet_sm90_tst_128x192_64x5_2x1_v_bz_coopB_NTN
0.0,28732544,256,112236.5,112240.0,91232,132672,5466.5,"void at::native::<unnamed>::sum_and_scatter<c10::BFloat16, long>(const T2 *, T1 *, long, const T2 *, const long *, const at::AccumulateType<T1, (bool)1>::type *, const T2 *, const long *, long, long)"
0.0,23771873,476,49940.9,48192.0,768,508256,96619.5,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,19207296,96,200076.0,208432.0,169376,224768,20452.7,nvjet_sm90_tst_256x128_64x4_2x4_h_bz_coopA_NTT
0.0,16067584,2048,7845.5,7392.0,6240,11232,1049.7,"void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::detail::radix::policy_hub<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy1000, (at_cuda_detail::cub::SortOrder)0, long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,13283808,224,59302.7,55072.0,48032,96480,12042.0,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,12525632,96,130475.3,135152.0,111392,145792,12697.1,nvjet_sm90_tst_128x160_64x5_4x2_h_bz_NTT
0.0,8471968,392,21612.2,17552.0,9888,190112,25534.2,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::BFloat16, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)"
0.0,5861569,256,22896.8,22624.0,20768,31264,1525.5,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,4996032,6144,813.2,736.0,608,4384,221.3,"transformer_engine::fused_attn::extract_seed_and_offset(long *, bool, long *, unsigned long, long *, unsigned long, unsigned int)"
0.0,4525984,152,29776.2,31904.0,1344,33824,7005.8,"void multi_tensor_apply_kernel<TensorListMetadata<(int)2, (bool)0>, transformer_engine::multi_tensor_scale::ScaleFunctor<__nv_bfloat16, __nv_bfloat16>, float>(long, volatile int *, T1, T2, T3...)"
0.0,3778656,40,94466.4,94448.0,93888,95360,337.8,triton_poi_fused_add_native_dropout_0
0.0,2922656,152,19228.0,19376.0,1824,27072,4591.6,"void multi_tensor_apply_kernel<TensorListMetadata<(int)1, (bool)0>, transformer_engine::multi_tensor_l2norm::L2NormFunctor<__nv_bfloat16>, float *, float *, bool, int>(long, volatile int *, T1, T2, T3...)"
0.0,2673664,768,3481.3,3840.0,1888,5184,812.2,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.0,2235200,40,55880.0,55744.0,54912,57728,739.2,triton_poi_fused_add_mul_silu_split_0
0.0,2157152,732,2946.9,896.0,672,23040,4319.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,1562880,16,97680.0,58368.0,8512,377920,104935.7,ncclDevKernel_AllReduce_Sum_u32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,1350144,256,5274.0,5280.0,4640,5984,211.0,"void at_cuda_detail::cub::detail::unique_by_key::DeviceUniqueByKeySweepKernel<at_cuda_detail::cub::detail::unique_by_key::policy_hub<long, int>::Policy1000, const long *, thrust::THRUST_300104_SM_800_860_900_1000_1100_1200_NS::counting_iterator<int, thrust::THRUST_300104_SM_800_860_900_1000_1100_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_900_1000_1100_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_900_1000_1100_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_900_1000_1100_1200_NS::compile_time_value<(int)1>>, long *, long *, long *, at_cuda_detail::cub::ScanTileState<unsigned long long, (bool)1>, cuda::std::__4::equal_to<void>, unsigned long long, at_cuda_detail::cub::detail::unique_by_key::VSMemHelper>(T2, T3, T4, T5, T6, T7, T8, T9, int, at_cuda_detail::cub::detail::vsmem_t)"
0.0,1293664,256,5053.4,3776.0,3392,14784,2993.7,triton_poi_fused__to_copy_arange_index_index_put_rsub_sub_view_1
0.0,1116192,256,4360.1,4352.0,3872,4832,172.0,"void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::detail::radix::policy_hub<long, at::cuda::cub::detail::OpaqueType<(int)8>, unsigned long long>::Policy1000, (at_cuda_detail::cub::SortOrder)0, long, unsigned long long, at_cuda_detail::cub::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
